,id,X,code,지역,선거구명,구시군명,X15대,X16대,X17대,X18대,X19대,X20대,permutation,combination
1,1,1,1,서울,종로구,종로구,1,1,1,1,2,2,111122,111122
2,2,2,1,서울,중구성동구갑,성동구,1,2,2,1,2,2,122122,112222
3,3,3,1,서울,중구성동구을,중구,1,2,1,1,2,1,121121,111122
4,4,4,1,서울,용산구,용산구,1,2,1,1,1,2,121112,111122
5,5,5,1,서울,광진구갑,광진구,2,1,2,1,2,2,212122,112222
6,6,6,1,서울,광진구을,광진구,2,2,2,2,2,2,222222,222222
7,7,7,1,서울,동대문구갑,동대문구,1,2,2,1,2,2,122122,112222
8,8,8,1,서울,동대문구을,동대문구,1,1,1,1,2,2,111122,111122
9,9,9,1,서울,중랑구갑,중랑구,2,2,2,1,2,2,222122,122222
10,10,10,1,서울,중랑구을,중랑구,1,2,2,1,2,2,122122,112222
11,11,11,1,서울,성북구갑,성북구,2,2,2,1,2,2,222122,122222
12,12,12,1,서울,성북구을,성북구,1,2,2,1,2,2,122122,112222
13,13,13,1,서울,강북구갑,강북구,2,2,2,1,2,1,222121,112222
14,14,14,1,서울,강북구을,강북구,2,2,2,2,2,2,222222,222222
15,15,15,1,서울,도봉구갑,도봉구,2,2,2,1,2,2,222122,122222
16,16,16,1,서울,도봉구을,도봉구,2,2,2,1,2,1,222121,112222
17,17,17,1,서울,노원구갑,노원구,1,2,2,1,1,2,122112,111222
18,18,18,1,서울,노원구을,노원구,2,2,2,1,2,2,222122,122222
19,19,19,1,서울,노원구병,노원구,2,2,2,1,3,2,222132,122223
20,20,20,1,서울,은평구갑,은평구,2,1,2,2,2,2,212222,122222
21,21,21,1,서울,은평구을,은평구,1,1,1,4,1,2,111412,111124
22,22,22,1,서울,서대문구갑,서대문구,2,1,2,1,2,2,212122,112222
23,23,23,1,서울,서대문구을,서대문구,2,2,1,1,1,2,221112,111222
24,24,24,1,서울,마포구갑,마포구,1,1,2,1,2,2,112122,111222
25,25,25,1,서울,마포구을,마포구,1,1,2,1,2,2,112122,111222
26,26,26,1,서울,양천구갑,양천구,1,1,1,1,1,2,111112,111112
27,27,27,1,서울,양천구을,양천구,2,2,2,1,1,1,222111,111222
28,28,28,1,서울,강서구갑,강서구,2,2,2,1,2,2,222122,122222
29,29,29,1,서울,강서구을,강서구,1,2,2,1,1,1,122111,111122
30,30,30,1,서울,강서구병,강서구,2,2,2,1,2,2,222122,122222
31,31,31,1,서울,구로구갑,구로구,2,1,2,1,2,2,212122,112222
32,32,32,1,서울,구로구을,구로구,1,2,2,2,2,2,122222,122222
33,33,33,1,서울,금천구,금천구,1,2,2,1,2,2,122122,112222
34,34,34,1,서울,영등포구갑,영등포구,1,2,1,1,2,2,121122,111222
35,35,35,1,서울,영등포구을,영등포구,2,2,1,1,2,2,221122,112222
36,36,36,1,서울,동작구갑,동작구,1,1,2,2,2,2,112222,112222
37,37,37,1,서울,동작구을,동작구,1,2,2,1,1,1,122111,111122
38,38,38,1,서울,관악구갑,관악구,1,2,2,1,2,2,122122,112222
39,39,39,1,서울,관악구을,관악구,2,2,2,2,3,1,222231,122223
40,40,40,1,서울,서초구갑,서초구,1,1,1,1,1,1,111111,111111
41,41,41,1,서울,서초구을,서초구,1,1,1,1,1,1,111111,111111
42,42,42,1,서울,강남구갑,강남구,1,1,1,1,1,1,111111,111111
43,43,43,1,서울,강남구을,강남구,4,1,1,1,1,2,411112,111124
44,44,45,1,서울,송파구갑,송파구,1,1,1,1,1,1,111111,111111
45,45,46,1,서울,송파구을,송파구,1,2,1,1,1,2,121112,111122
46,46,47,1,서울,송파구병,송파구,2,1,2,2,1,2,212212,112222
47,47,48,1,서울,강동구갑,강동구,2,1,1,1,1,2,211112,111122
48,48,49,1,서울,강동구을,강동구,1,2,2,1,2,2,122122,112222
49,49,50,2,부산,중구영도구,소계,1,1,1,1,1,1,111111,111111
50,50,51,2,부산,서구동구,소계,1,1,1,1,1,1,111111,111111
51,51,52,2,부산,부산진구갑,부산진구,1,1,1,1,1,2,111112,111112
52,52,53,2,부산,부산진구을,부산진구,1,1,1,1,1,1,111111,111111
53,53,54,2,부산,동래구,동래구,1,1,1,1,1,1,111111,111111
54,54,55,2,부산,남구갑,남구,1,1,1,1,1,1,111111,111111
55,55,56,2,부산,남구을,남구,1,1,1,1,1,2,111112,111112
56,56,57,2,부산,북구강서구갑,북구,1,1,1,1,1,2,111112,111112
57,57,58,2,부산,북구강서구을,강서구,1,1,1,1,1,1,111111,111111
58,58,59,2,부산,해운대구갑,해운대구,1,1,1,1,1,1,111111,111111
59,59,60,2,부산,해운대구을,해운대구,1,1,1,1,1,1,111111,111111
60,60,61,2,부산,사하구갑,사하구,1,1,1,1,1,2,111112,111112
61,61,62,2,부산,사하구을,사하구,1,1,2,2,2,1,112221,111222
62,62,63,2,부산,금정구,금정구,1,1,1,1,1,1,111111,111111
63,63,64,2,부산,연제구,연제구,1,1,1,1,1,2,111112,111112
64,64,65,2,부산,수영구,수영구,1,1,1,1,1,1,111111,111111
65,65,66,2,부산,사상구,사상구,1,1,1,1,2,1,111121,111112
66,66,67,2,부산,기장군,기장군,1,1,1,1,1,1,111111,111111
67,67,68,3,대구,중구남구,소계,1,1,1,1,1,1,111111,111111
68,68,69,3,대구,동구갑,동구,1,1,1,1,1,1,111111,111111
69,69,70,3,대구,동구을,동구,4,1,1,1,1,1,411111,111114
70,70,72,3,대구,북구갑,북구,1,1,1,1,1,1,111111,111111
71,71,73,3,대구,북구을,북구,1,1,1,1,1,2,111112,111112
72,72,74,3,대구,수성구갑,수성구,1,1,1,1,1,2,111112,111112
